Abbre,Lat,Long,Name
ABE,39.50946045,-76.16300964,ABERDEEN test
ABI,32.45410538,-99.73468018,ABILENE
ABN,39.42869568,-74.50753784,ABSECON
ADE,34.55826569,-117.404213,ADELANTO
AKO,41.08057404,-81.51566315,AKRON
ALY,44.63075638,-123.0996475,ALBANY
ALB,42.64164734,-73.74125671,ALBANY-RENSSELAER
ALI,42.24737549,-84.75632477,ALBION
ABQ,35.08293533,-106.6469803,ALBUQUERQUE
AST,40.8171196,-91.10359192,ALDERSHOT
ALD,37.72423935,-80.64464569,ALDERSON
ALX,38.8062439,-77.06264496,ALEXANDRIA
ALE,27.74541283,-98.08235168,ALICE
ANW,40.59043121,-75.56719208,ALLENTOWN - WEST
ALV,40.65233231,-75.44039154,ALLENTOWN AIRPORT
ALC,40.92178726,-81.09580994,ALLIANCE
ALP,30.35715866,-103.6610413,ALPINE
ALN,38.90449142,-90.13494873,ALTON
ALT,40.51478195,-78.40099335,ALTOONA
AMM,42.37485886,-72.51192474,AMHERST
AMS,42.953676,-74.219553,AMSTERDAM
ANA,33.80426025,-117.884819,ANAHEIM
ARB,42.28805161,-83.74402618,ANN ARBOR
ATN,33.64899826,-85.83188629,ANNISTON
ACA,38.01808548,-121.8151321,ANTIOCH-PITTSBURG
APP,44.26594162,-88.40564728,APPLETON
ARC,40.86757278,-124.0839386,ARCATA
ADM,34.17191315,-97.12541199,ARDMORE
ARD,40.00726318,-75.28944397,ARDMORE
ARK,34.11437607,-93.05244446,ARKADELPHIA
AKY,38.48093033,-82.63947296,ASHLAND
AHL,42.18811798,-122.6970215,ASHLAND
ASD,37.75923538,-77.48167419,ASHLAND
ATA,35.48920822,-120.6657104,ATASCADERO
ATL,33.79956436,-84.39178467,ATLANTA
ACY,39.36300278,-74.43986511,ATLANTIC CITY
ATR,31.02432823,-87.48733521,ATMORE
ARN,38.90418243,-121.0820313,AUBURN
AUS,30.26909256,-97.75556946,AUSTIN
BBY,42.3473053,-71.07635498,BACK BAY
BAK,44.7820549,-117.8113251,BAKER CITY
BFD,35.37137985,-119.0224609,BAKERSFIELD
BAL,39.30812073,-76.61747742,BALTIMORE
BAM,42.3141861,-86.11186981,BANGOR
BAR,34.90480042,-117.0253525,BARSTOW
BRV,36.75063324,-95.93536377,BARTLESVILLE
BTS,34.31602097,-89.95238495,BATESVILLE
BTR,30.44965744,-91.1765976,BATON ROUGE
BTL,42.31697464,-85.18569183,BATTLE CREEK
BAY,30.88092041,-87.77303314,BAY MINETTE
BAS,30.30690002,-89.33733368,BAY ST. LOUIS
BEU,33.92804718,-116.9765091,BEAUMONT
BMT,30.0769062,-94.12296295,BEAUMONT
BLE,34.66424179,-106.7748718,BELEN
BVL,38.5209198,-89.99146271,BELLEVILLE
BEL,48.72048569,-122.5098877,BELLINGHAM
BLF,43.13582611,-72.44544983,BELLOWS FALLS
BET,42.49884033,-89.03549194,BELOIT
BED,44.05533981,-121.273407,BEND
BEN,31.96816826,-110.2939835,BENSON
